GENE	GTEx_bladder	GTEx_prostate	GTEx_thyroid
1	DDX11L1	0	0	0
2	WASH7P	14.5983	19.1737	11.6679
3	MIR1302-11	0	0.0398	0.0202
4	FAM138A	0	0	0
5	OR4G4P	0	0	0
6	OR4G11P	0	0	0
7	OR4F5	0	0	0
8	RP11-34P13.7	0.0955	0.2632	0.2169
9	CICP27	0	0.0319	0.0648
10	AL627309.1	5.3682	23.1363	18.8352
11	RP11-34P13.15	2.6528	13.9536	9.7913
12	RP11-34P13.16	3.7335	23.0861	13.9212
13	RP11-34P13.14	0.5471	1.5083	2.7413
14	RP11-34P13.13	0.1854	0.1868	0.3224
15	RNU6-1100P	0	0	0
16	RP11-34P13.9	0	0.0444	0
17	AP006222.2	0.663	0.7187	1.2551
18	AP006222.1	0.6694	0.4194	0.8934
19	RP4-669L17.10	0.7628	1.3031	1.2444
20	RP4-669L17.8	0	0	0.0332
21	CICP7	0	0.0082	0.0083
22	RP4-669L17.4	0	0	0
23	OR4F29	0	0	0
24	WBP1LP7	0	0	0
25	AL732372.1	0	0	0
26	RP5-857K21.15	0	0	0.0609
27	RP4-669L17.2	0	0	0
28	RP4-669L17.1	0	0	0
29	RP5-857K21.1	0.035	0.0723	0.1956
30	RP5-857K21.2	0	0	0
31	RP5-857K21.3	0	0	0
32	RP5-857K21.4	0.1478	0.0792	0.4824
33	RP5-857K21.5	0	0	0
34	MTND1P23	9.026	17.0246	8.3032
35	MTND2P28	168.1719	654.3956	266.037
36	hsa-mir-6723	242.9568	171.6104	380.7287
37	RP5-857K21.7	43.705	236.9457	79.5593
38	WBP1LP6	0	0	0.0486
39	OR4F16	0	0	0
40	CICP3	0.12	0.0992	0.3691
41	RP11-206L10.1	3.3361	7.5052	5.4478
42	RP11-206L10.3	0.097	0.1044	0.3813
43	RNU6-1199P	0	0	0
44	RP11-206L10.5	0.3201	0.2206	0.2238
45	RP11-206L10.4	0.0646	0	0.0903
46	RP11-206L10.2	3.8168	1.5783	5.5816
47	RP11-206L10.9	0.3478	0.7411	0.9052
48	RP11-206L10.8	0.6193	0.4743	0.7698
49	AL669831.1	0	0	0
50	FAM87B	0.3333	0.261	0.4237
51	RP11-206L10.10	0.2599	0.6567	0.3634
52	LINC00115	3.377	5.4869	3.1271
53	RP11-206L10.11	3.3561	4.187	3.462
54	FAM41C	0	0.1236	0.1045
55	TUBB8P11	0.1114	0	0
56	AL645608.2	0	0	0
57	RP11-54O7.16	0.5874	24.1154	0
58	RP11-54O7.1	0	0	0
59	RP11-54O7.3	5.7041	92.3592	0.845
60	SAMD11	9.4187	44.2371	0.2092
61	AL645608.1	0	0	0
62	NOC2L	29.6364	32.4744	24.4048
63	KLHL17	8.2094	8.121	4.9274
64	PLEKHN1	18.5809	5.5583	1.6409
65	C1orf170	0.4434	0.2139	0
66	RP11-54O7.17	9.6578	7.4149	3.84
67	HES4	10.252	9.9931	4.2174
68	RP11-54O7.10	0.3825	0	0.2674
69	RP11-54O7.11	0.0625	0.0431	0.2623
70	ISG15	12.6347	18.1574	478.8542
71	AGRN	42.8456	25.3669	84.4677
72	RP11-54O7.14	27.4751	30.9528	65.6173
73	RP11-465B22.3	2.0987	0.8043	0.7873
74	RNF223	5.4354	1.0032	0
75	C1orf159	5.6598	9.4432	5.2343
76	RP11-465B22.5	0.4909	0.6014	0
77	MIR200B	0.31	0.8547	0
78	MIR200A	0	2.0299	0
79	MIR429	0.7097	2.2011	0
80	RP11-465B22.8	17.9943	47.0137	6.3632
81	TTLL10-AS1	0.05	0.1494	0.035
82	TTLL10	0.3109	0.7016	0.1358
83	TNFRSF18	2.4939	2.3558	0.0902
84	TNFRSF4	1.5832	1.8359	2.3544
85	SDF4	56.7042	62.6471	62.2857
86	B3GALT6	5.5891	9.8477	6.5469
87	FAM132A	0.5402	1.156	0.8746
88	RP5-902P8.12	0.1701	0.1303	0.4229
89	UBE2J2	11.2092	16.6422	14.0102
90	RP5-902P8.10	1.9521	1.6223	1.0436
91	SCNN1D	3.2563	6.2333	3.9956
92	ACAP3	29.6039	33.9182	21.2884
93	PUSL1	10.9773	10.7879	7.4354
94	CPSF3L	33.301	45.416	27.7653
95	RP5-890O3.9	17.7788	14.514	14.6703
96	GLTPD1	12.5834	22.1887	10.6584
97	TAS1R3	0.5053	0.1493	0.3407
98	DVL1	26.8602	31.7324	33.1591
99	MXRA8	38.1803	21.931	19.88
100	AURKAIP1	30.0357	48.9525	38.1979
101	RP5-890O3.3	0	0	0.1122
102	CCNL2	119.6872	150.4668	134.0312
103	RP4-758J18.2	5.2595	4.5913	5.0254
104	MRPL20	21.8987	24.9266	31.4487
105	RN7SL657P	3.7321	3.1282	3.2439
106	RP4-758J18.13	1.3151	2.8122	2.7582
107	ANKRD65	22.0677	12.4525	0.8723
108	RP4-758J18.7	0.8136	1.6074	0.0758
109	TMEM88B	0.0599	0	0
110	RP4-758J18.10	4.5339	7.5851	0.8469
111	VWA1	15.6949	30.1212	20.1324
