GTEx_bladder	GTEx_prostate	GTEx_thyroid	TCGA_bladder	TCGA_prostate	TCGA_thyroid
A1BG	0.8038	1.1662	2.0882	10.7527	46.3568	166.881
A1CF	0.0406	0	0.0284	0	0	0
A2M	317.1494	27.2695	131.4548	34322.5568	19255.9001	8651.486
A2ML1	0.8611	0.2816	0.0154	75.8662	95.7248	0.4057
A4GALT	32.0854	13.8772	5.0657	1409.1995	964.0626	359.0628
A4GNT	0.1497	0.1375	0.3721	1.1947	0	4.8686
AAAS	18.7161	28.551	24.1723	556.7503	546.7673	772.8979
AACS	1.5762	2.758	2.5137	431.8996	664.5575	553.8087
AADAC	0.6549	0.0976	0.792	63.9188	0.3245	5.2744
AADACL2	0.0116	0	0	3.5842	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0.0187	0.0773	0	0	0.3245	0.4057
AADAT	5.2628	15.102	3.536	84.8268	190.1517	95.3444
AAGAB	11.5113	12.6449	17.8692	1003.5842	815.7703	1189.573
AAK1	1.0225	0.7547	1.9822	1014.3369	1681.1876	1748.6561
AAMP	63.64	57.2174	52.7807	3045.9976	2280.8469	2501.6736
AANAT	0.2152	0.139	0.1128	1.1947	0.3245	5.6801
AARS	23.9272	35.2255	46.4657	1408.6022	2827.6142	3567.0961
AARS2	5.5803	8.5452	5.2664	351.2545	498.0709	421.1015
AARSD1	3.5128	3.4452	4.534	493.4289	458.5057	516.0767
AASDH	6.1908	5.213	5.9546	154.7192	400.4218	298.6104
AASDHPPT	15.812	8.8393	14.4905	434.8865	779.7518	742.0631
AASS	15.0424	5.8474	4.7433	803.4648	685.3249	496.1964
AATF	15.5253	9.5219	11.9397	1476.7025	840.7561	1075.9712
AATK	3.7546	5.59	3.9917	94.3847	93.4534	88.8528
ABAT	2.829	2.4981	3.9748	861.4098	1213.5962	2003.8543
ABCA1	8.5791	1.9673	4.3905	547.7897	620.7382	565.9763
ABCA10	2.8928	0.427	1.0209	212.6643	19.7939	58.4238
ABCA11P	4.5711	6.577	6.2883	53.3453	108.1626	161.4768
ABCA12	0.0688	0.0496	0.0262	8.3632	22.7144	0
ABCA13	0.1374	0.0046	1.4789	23.8949	7.7878	124.1505
ABCA17P	0.0896	0.0895	0.2631	1.7921	4.8674	25.9661
ABCA2	9.0638	12.9257	17.6483	920.5496	1743.8144	2498.4278
ABCA3	2.0952	7.5687	35.2276	80.6452	813.1743	2502.485
ABCA4	0.0578	0.3067	0.0665	1.1947	11.0327	8.9259
ABCA5	10.8609	7.265	9.7057	770.6093	677.5371	522.5682
ABCA6	6.4538	0.1232	0.6406	960.5735	153.8087	132.2649
ABCA7	6.9402	7.5934	14.5303	441.4576	288.7969	827.2644
ABCA8	25.0604	1.3007	7.8844	1624.8507	1212.6227	379.7545
ABCA9	3.3539	0.3107	0.5696	280.1673	57.1104	132.6707
ABCB1	4.3139	1.8959	3.5724	302.27	549.0387	159.4482
ABCB10	4.8166	3.806	3.5707	266.4277	440.3342	410.995
ABCB11	0.0959	0.0165	0.0084	1.1947	1.6225	4.0572
ABCB4	0.4136	0.1392	0.0908	32.2581	31.8001	64.1039
ABCB5	0.0064	0	0	14.3369	5.1919	0
ABCB6	30.7998	40.9451	33.7706	550.4898	587.1956	524.0004
ABCB7	9.582	5.545	6.7918	387.6941	400.7463	411.4008
ABCB8	4.4641	12.1952	12.5842	329.7491	518.5365	782.6352
ABCB9	0.8313	1.0711	0.9878	17.9211	106.3584	100.3875
ABCC1	15.8102	16.499	19.222	1535.2449	2022.2276	1628.9685
ABCC10	9.4303	9.9732	8.0071	414.5759	558.1244	480.3733
ABCC11	0.0838	1.7792	0.2071	5.9737	71.7125	0.8114
ABCC12	0	0.3383	0.0067	0	1.298	0
ABCC13	0.0494	0.0076	0	0	0.3245	0
ABCC2	1.035	0.4006	0.3866	16.7264	7.7878	11.7659
ABCC3	49.9574	12.4396	47.5548	5858.4229	654.4983	438.1783
ABCC4	19.4373	13.9087	0.8495	3043.6081	3534.031	794.4011
ABCC5	53.016	17.7672	3.2108	11025.0896	872.2317	346.4854
ABCC6	0.1917	0.4087	5.9484	5.3763	68.1431	199.2088
ABCC6P1	0.0515	0.4555	2.1966	0.5974	6.4898	7.7087
ABCC6P2	0	0.0746	1.3438	1.7921	10.0592	40.1663
ABCC8	0.2061	0.7705	2.4421	2.9869	146.6699	43.0064
ABCC9	2.2204	0.3252	1.2224	137.3955	1034.4772	167.9684
ABCD1	6.3875	6.9532	5.3948	314.8148	406.9117	290.496
ABCD2	0.1416	0.026	0.0132	7.1685	22.7144	101.0244
ABCD3	10.3465	6.5006	12.0963	1584.8268	1376.1661	971.701
