"GENE"	"TCGA_bladder"	"TCGA_prostate"	"TCGA_thyroid"
"1"	"DCTN5"	1204.3011	1185.3655	961.1522
"2"	"FAM105B"	663.0824	578.5674	583.4263
"3"	"IDE"	466.5472	878.7215	351.7598
"4"	"C21orf99"	0	0	0
"5"	"IFITM2"	1154.1219	2250.6693	2137.7422
"6"	"FAM151A"	2.2521	1.8918	48.0576
"7"	"CHST12"	262.2461	378.3565	483.2133
"8"	"CRCP"	957.5866	976.3933	736.383
"9"	"WDR44"	822.5806	518.2121	371.2344
"10"	"ACAT1"	430.7049	880.0195	1086.5199
"11"	"ERF"	2335.1254	1059.1385	1380.2617
"12"	"MBOAT2"	221.6249	861.848	208.9461
"13"	"RNASEL"	282.5568	500.3651	493.3563
"14"	"SPRR2F"	0	0	0
"15"	"FCRL4"	0	0	50.3094
"16"	"RPS6KA4"	1219.2354	640.5451	712.4455
"17"	"RHOT2"	2502.3895	1100.3488	1746.2217
"18"	"WDSUB1"	160.0956	225.1967	303.4791
"19"	"HNF1A"	5.9737	16.549	12.1716
"20"	"SPINK4"	43.0108	0	0
"21"	"ONECUT1"	0	0.3245	0
"22"	"MLL5"	2257.0012	3364.293	2175.3971
"23"	"PPP1R1A"	10.7527	97.6718	23.9375
"24"	"CDK11A"	800.448	583.6262	797.0991
"25"	"KRTAP1-1"	14.3369	0	0
"26"	"ZNF831"	72.8793	39.9124	390.3033
"27"	"ELK1"	787.9331	747.6272	577.3405
"28"	"C10orf50"	0	0.3245	2.0286
"29"	"C21orf2"	565.7109	593.494	1041.0792
"30"	"SUSD3"	16.7264	65.5472	390.709
"31"	"RNPEPL1"	1634.4086	1568.2648	1710.5183
"32"	"OR5T2"	0	0	0
"33"	"UBL4B"	0	2.2714	0.4057
"34"	"B3GALTL"	124.8507	227.7927	428.8467
"35"	"LOC339674"	0	0.649	0.4057
"36"	"RPTOR"	937.276	1086.7202	727.4531
"37"	"PER2"	2918.7575	2120.2239	1008.2158
"38"	"DHX29"	672.6404	1175.3062	786.6924
"39"	"B3GNT7"	1144.5639	177.821	163.5054
"40"	"ADAM7"	0	140.8291	0
"41"	"FZD1"	565.7109	1752.5756	2543.0571
"42"	"MRPS35"	761.6487	831.0213	1003.7529
"43"	"NAGS"	15.5317	68.7921	131.0478
"44"	"CYP17A1"	0	0.9735	36.1173
"45"	"AGXT2L1"	1.7921	0.3245	31.6462
"46"	"IL10"	23.8949	18.1715	20.6918
"47"	"MEG8"	0	0.3245	0
"48"	"BCL6B"	157.1087	231.6865	390.3033
"49"	"ENG"	1571.0872	2854.8649	2394.1373
"50"	"KIAA1409"	2.9869	10.3837	6.0858
"51"	"HSD17B6"	284.3489	765.1497	649.9645
"52"	"SSTR4"	1.1947	0	0
"53"	"C11orf95"	359.6177	587.9776	558.2716
"54"	"UBAP2"	1094.9821	802.7906	732.7315
"55"	"KRTAP13-1"	0	0	0
"56"	"SFRS17A"	1854.2413	1029.2853	1681.3064
"57"	"ULBP3"	45.9976	13.9531	58.8295
"58"	"SLFN5"	350.0597	1758.4165	615.4782
"59"	"OR7E24"	0	0	0
"60"	"NAP1L2"	130.8244	230.0641	245.8667
"61"	"ZNF738"	78.2557	167.4373	207.729
"62"	"ASPN"	74.6714	141.8025	146.4652
"63"	"ALS2CR8"	59.1398	263.8111	366.7715
"64"	"TMEM200A"	163.6798	150.5638	149.3052
"65"	"SCAI"	136.2007	438.0628	319.7079
"66"	"SLURP1"	1.1947	0	0
"67"	"KPNA3"	820.1912	949.4605	858.5049
"68"	"DAXX"	1334.5281	1092.2366	1582.3106
"69"	"OR4C13"	0	0	0
"70"	"KIAA2013"	1320.7885	1253.1841	1668.7291
"71"	"SNCAIP"	34.6476	494.5242	75.464
"72"	"WWP2"	1369.1756	1759.0655	1514.1495
"73"	"SLC29A3"	370.9677	275.4928	256.8212
"74"	"SLC2A8"	401.4337	287.1745	386.2461
"75"	"FBXL18"	133.2139	301.4521	344.8626
"76"	"CITED1"	8.9606	55.1635	81.5499
"77"	"THNSL2"	132.0191	892.3501	241.4038
"78"	"SNORD114-21"	0	0	0
"79"	"CCDC54"	0	0.9735	0.4057
"80"	"SDHB"	1062.724	867.6888	1198.9046
"81"	"TAF1C"	1000.5974	689.2188	959.5294
"82"	"NAP1L6"	0.5974	9.4102	23.5318
"83"	"CSNK1D"	6527.4791	3901.3547	3611.7253
"84"	"CCL4"	324.9701	66.5206	419.9209
"85"	"KCTD10"	2279.5699	2215.6242	2354.8027
"86"	"SERPINA3"	655.3166	4738.8659	255.1983
"87"	"AADACL3"	0	0	0
"88"	"TTC33"	192.3536	553.5816	451.5671
"89"	"IL2RA"	29.2712	29.2042	126.9906
"90"	"FAM25B"	0	0	0.4057
"91"	"ZNF782"	30.4659	73.0105	92.0986
"92"	"PHF10"	3214.4743	2021.0335	1696.5331
